adc_value desired_adc_value voltage desired_voltage
159 203 513,3871 654,8387
159 204 513,3871 658,0645
160 205 516,7742 661,2903
160 206 517,5806 664,5161
162 207 523,2258 667,7419
163 208 525,0 670,9677
162 209 523,2258 674,1935
165 210 531,7741 677,4194
166 211 533,871 680,6451
166 212 536,6129 683,8709
170 213 549,5161 687,0968
169 214 543,871 690,3225
173 215 556,7741 693,5484
168 216 541,6129 696,7741
172 217 553,3871 700,0
173 218 557,5806 703,2258
174 219 560,4839 706,4516
174 220 562,4194 709,6774
175 221 565,9677 712,9032
176 222 568,0645 716,129
178 223 572,5806 719,3548
178 224 574,8387 722,5806
179 225 576,7742 725,8064
180 226 581,129 729,0323
181 227 582,5806 732,258
183 228 589,3548 735,4839
183 229 590,3225 738,7096
184 230 594,0323 741,9355
185 231 596,129 745,1613
186 232 600,9677 748,3871
187 233 603,7097 751,6129
182 234 587,4194 754,8387
189 235 611,129 758,0645
190 236 613,871 761,2903
191 237 615,3225 764,5161
193 238 621,7741 767,7419
193 239 623,3871 770,9677
194 240 624,5161 774,1935
195 241 627,7419 777,4194
196 242 631,4516 780,6451
197 243 634,6774 783,8709
197 244 636,9355 787,0968
199 245 642,5806 790,3225
200 246 644,1935 793,5484
201 247 647,0968 796,7741
202 248 652,2581 800,0
203 249 655,4839 803,2258
204 250 656,4516 806,4516
205 251 662,2581 809,6774
206 252 663,871 812,9032
207 253 666,6129 816,129
204 254 657,4193 819,3548
208 255 669,8387 822,5806
210 256 675,8064 825,8064
212 257 683,3871 829,0322
212 258 683,8709 832,258
212 259 682,7419 835,4838
213 260 688,0645 838,7096
214 261 690,9677 841,9354
216 262 695,4839 845,1613
216 263 697,9032 848,3871
213 264 686,2903 851,6129
219 265 705,8064 854,8387
216 266 697,5806 858,0645
221 267 711,6129 861,2904
221 268 714,3548 864,5161
222 269 717,258 867,742
223 270 719,8387 870,9677
224 271 722,258 874,1935
219 272 705,9677 877,4194
226 273 729,5161 880,6451
227 274 733,0645 883,871
228 275 736,4516 887,0968
230 276 741,4516 890,3226
230 277 742,0968 893,5484
231 278 745,6451 896,7742
232 279 747,7419 900,0
233 280 752,4194 903,2258
234 281 755,8064 906,4516
235 282 758,7096 909,6774
237 283 763,3871 912,9032
237 284 763,871 916,129
232 285 749,1935 919,3548
240 286 772,9032 922,5806
241 287 776,2903 925,8064
241 288 777,5806 929,0322
241 289 778,0645 932,258
243 290 782,7419 935,4838
244 291 786,2903 938,7096
246 292 794,5161 941,9354
246 293 792,9032 945,1612
247 294 796,6129 948,3871
247 295 798,2258 951,6129
249 296 801,7741 954,8387
250 297 806,4516 958,0645
250 298 808,0645 961,2904
252 299 813,8709 964,5161
254 300 818,0645 967,742
255 301 821,4516 970,9677
255 302 823,5484 974,1935
257 303 828,0645 977,4194
257 304 830,4839 980,6451
259 305 835,1613 983,871
260 306 839,1935 987,0968
260 307 839,0323 990,3226
261 308 843,3871 993,5484
263 309 847,7419 996,7741
263 310 848,7097 1000,0
265 311 854,1935 1003,226
266 312 857,7419 1006,452
267 313 860,6451 1009,677
270 314 870,0001 1012,903
268 315 865,9678 1016,129
270 316 870,3225 1019,355
271 317 873,8709 1022,581
272 318 876,7741 1025,806
273 319 879,6775 1029,032
273 320 881,129 1032,258
274 321 884,9999 1035,484
276 322 889,0323 1038,71
276 323 890,1613 1041,935
277 324 893,7096 1045,161
278 325 897,0968 1048,387
279 326 901,4517 1051,613
280 327 904,3549 1054,839
281 328 906,4516 1058,065
288 329 927,7419 1061,29
283 330 914,3549 1064,516
285 331 918,5484 1067,742
285 332 918,3871 1070,968
286 333 922,4195 1074,194
286 334 923,5483 1077,419
288 335 929,0322 1080,645
288 336 930,1613 1083,871
291 337 937,5806 1087,097
295 338 950,9676 1090,323
292 339 941,4515 1093,548
293 340 944,6774 1096,774
294 341 948,5483 1100,0
295 342 950,9676 1103,226
296 343 953,387 1106,452
297 344 959,5161 1109,677
298 345 962,258 1112,903
300 346 966,4515 1116,129
298 347 961,6129 1119,355
302 348 974,3547 1122,581
302 349 974,8387 1125,806
302 350 975,4839 1129,032
304 351 980,1613 1132,258
305 352 983,7097 1135,484
305 353 983,7097 1138,71
307 354 989,8387 1141,935
308 355 995,0001 1145,161
308 356 991,9354 1148,387
309 357 997,7419 1151,613
309 358 996,6129 1154,839
312 359 1005,806 1158,065
312 360 1005,161 1161,29
314 361 1012,903 1164,516
315 362 1015,0 1167,742
322 363 1040,323 1170,968
317 364 1023,548 1174,194
318 365 1025,161 1177,419
320 366 1030,968 1180,645
319 367 1030,484 1183,871
321 368 1034,194 1187,097
322 369 1037,419 1190,323
322 370 1037,742 1193,548
317 371 1023,548 1196,774
324 372 1045,968 1200,0
325 373 1049,677 1203,226
326 374 1052,258 1206,452
327 375 1054,839 1209,677
328 376 1057,097 1212,903
330 377 1063,548 1216,129
331 378 1067,742 1219,355
331 379 1069,032 1222,581
332 380 1071,129 1225,806
334 381 1076,129 1229,032
334 382 1076,129 1232,258
335 383 1079,355 1235,484
336 384 1084,516 1238,71
334 385 1076,935 1241,935
338 386 1090,645 1245,161
338 387 1090,484 1248,387
340 388 1096,129 1251,613
341 389 1100,323 1254,839
342 390 1103,387 1258,065
343 391 1105,968 1261,29
344 392 1110,161 1264,516
346 393 1115,0 1267,742
340 394 1098,387 1270,968
347 395 1120,645 1274,194
348 396 1123,387 1277,419
349 397 1125,645 1280,645
350 398 1127,581 1283,871
351 399 1132,097 1287,097
352 400 1135,484 1290,323
353 401 1137,903 1293,548
354 402 1142,581 1296,774
355 403 1143,871 1300,0
355 404 1146,129 1303,226
360 405 1159,839 1306,452
358 406 1153,387 1309,677
357 407 1152,581 1312,903
360 408 1160,323 1316,129
361 409 1164,355 1319,355
362 410 1169,194 1322,581
362 411 1168,387 1325,806
364 412 1174,355 1329,032
365 413 1177,419 1332,258
365 414 1178,548 1335,484
366 415 1181,774 1338,71
367 416 1184,839 1341,935
369 417 1188,871 1345,161
370 418 1192,258 1348,387
370 419 1194,194 1351,613
380 420 1227,419 1354,839
372 421 1201,452 1358,065
373 422 1204,194 1361,29
374 423 1206,613 1364,516
375 424 1210,968 1367,742
377 425 1216,774 1370,968
377 426 1216,936 1374,194
378 427 1220,161 1377,419
380 428 1224,516 1380,645
380 429 1226,29 1383,871
382 430 1231,613 1387,097
383 431 1235,484 1390,323
384 432 1237,097 1393,548
379 433 1222,258 1396,774
385 434 1242,903 1400,0
385 435 1240,806 1403,226
392 436 1265,806 1406,452
390 437 1257,258 1409,677
391 438 1260,645 1412,903
395 439 1275,484 1416,129
392 440 1265,323 1419,355
393 441 1268,871 1422,581
395 442 1273,548 1425,806
392 443 1264,677 1429,032
397 444 1281,935 1432,258
398 445 1282,581 1435,484
398 446 1284,839 1438,71
400 447 1288,71 1441,935
400 448 1290,161 1445,161
401 449 1293,871 1448,387
403 450 1300,484 1451,613
403 451 1299,032 1454,839
404 452 1304,194 1458,065
404 453 1304,355 1461,29
406 454 1311,29 1464,516
407 455 1312,097 1467,742
408 456 1315,968 1470,968
409 457 1319,194 1474,194
410 458 1324,032 1477,419
411 459 1325,0 1480,645
412 460 1328,871 1483,871
412 461 1330,323 1487,097
413 462 1333,71 1490,323
414 463 1336,452 1493,548
418 464 1349,839 1496,774
416 465 1342,581 1500,0
422 466 1360,0 1503,226
418 467 1349,839 1506,452
419 468 1351,774 1509,677
420 469 1354,839 1512,903
421 470 1359,032 1516,129
421 471 1357,903 1519,355
424 472 1366,129 1522,581
424 473 1367,581 1525,806
425 474 1371,613 1529,032
427 475 1376,613 1532,258
424 476 1368,387 1535,484
428 477 1380,484 1538,71
430 478 1386,29 1541,935
431 479 1389,355 1545,161
427 480 1378,387 1548,387
432 481 1394,516 1551,613
433 482 1397,258 1554,839
434 483 1400,806 1558,065
432 484 1393,71 1561,29
437 485 1408,871 1564,516
433 486 1395,806 1567,742
439 487 1414,839 1570,968
440 488 1418,226 1574,194
440 489 1418,871 1577,419
441 490 1423,387 1580,645
442 491 1426,774 1583,871
443 492 1429,194 1587,097
444 493 1432,903 1590,323
449 494 1447,903 1593,548
446 495 1439,032 1596,774
447 496 1443,065 1600,0
448 497 1443,71 1603,226
449 498 1448,71 1606,452
449 499 1449,839 1609,677
450 500 1450,323 1612,903
451 501 1456,29 1616,129
453 502 1460,645 1619,355
455 503 1466,935 1622,581
454 504 1465,161 1625,806
453 505 1462,742 1629,032
457 506 1473,226 1632,258
458 507 1476,129 1635,484
460 508 1482,258 1638,71
460 509 1483,226 1641,935
461 510 1486,613 1645,161
462 511 1489,032 1648,387
462 512 1491,774 1651,613
463 513 1493,226 1654,839
463 514 1493,548 1658,064
464 515 1496,129 1661,29
466 516 1502,581 1664,516
467 517 1506,774 1667,742
469 518 1511,935 1670,968
469 519 1513,387 1674,194
470 520 1516,129 1677,419
472 521 1520,968 1680,645
472 522 1523,548 1683,871
473 523 1527,258 1687,097
475 524 1531,129 1690,323
474 525 1530,323 1693,548
476 526 1535,323 1696,774
476 527 1535,484 1700,0
474 528 1528,387 1703,226
478 529 1541,29 1706,452
479 530 1545,161 1709,677
481 531 1550,484 1712,903
482 532 1556,129 1716,129
482 533 1556,129 1719,355
484 534 1562,419 1722,581
485 535 1563,226 1725,806
486 536 1567,258 1729,032
487 537 1571,452 1732,258
488 538 1574,839 1735,484
487 539 1570,645 1738,71
489 540 1577,903 1741,935
491 541 1582,742 1745,161
492 542 1587,419 1748,387
495 543 1596,613 1751,613
